"Date","Time","Open","High","Low","Close","Up","Down"
01/11/2019,04:30,1654.24,1656.00,1650.50,1655.19,71846,56496
01/11/2019,05:00,1654.87,1659.80,1652.67,1655.25,149811,137596
01/11/2019,23:00,1640.88,1651.08,1636.22,1646.60,276736,247351
01/11/2019,23:30,1647.00,1660.29,1644.81,1645.09,214079,212769
01/12/2019,00:00,1644.80,1651.00,1644.00,1647.77,110532,117526
01/12/2019,00:30,1647.91,1647.91,1640.87,1644.45,87210,95830
01/12/2019,01:00,1644.60,1650.05,1643.23,1647.28,68155,71054
01/12/2019,01:30,1647.15,1650.50,1645.00,1645.89,41960,41808
01/12/2019,02:00,1645.81,1648.20,1643.62,1645.87,44861,39458
01/12/2019,02:30,1645.36,1646.27,1636.78,1641.09,88768,111863
01/12/2019,03:00,1641.20,1642.00,1637.69,1638.06,43959,51097
01/12/2019,03:30,1638.19,1643.83,1636.57,1641.21,60766,72408
01/12/2019,04:00,1641.16,1642.78,1638.80,1640.76,32960,35658
01/12/2019,04:30,1640.37,1644.15,1640.20,1641.20,49382,49814
01/12/2019,05:00,1641.35,1644.48,1639.00,1639.77,116386,108676
